#TYPE System.ServiceProcess.ServiceController
"Name";"RequiredServices";"CanPauseAndContinue";"CanShutdown";"CanStop";"DisplayName";"DependentServices";"MachineName";"ServiceName";"ServicesDependedOn";"ServiceHandle";"Status";"ServiceType";"StartType";"Site";"Container"
"netprofm";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de lista de redes";"System.ServiceProcess.ServiceController[]";".";"netprofm";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"StopPending";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"NetSetupSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de configuraci?n de red";"System.ServiceProcess.ServiceController[]";".";"NetSetupSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"NetTcpPortSharing";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de uso compartido de puertos Net.Tcp";"System.ServiceProcess.ServiceController[]";".";"NetTcpPortSharing";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Disabled";;
"NgcCtnrSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Contenedor de Microsoft Passport";"System.ServiceProcess.ServiceController[]";".";"NgcCtnrSvc";"System.ServiceProcess.ServiceController[]";;"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"NgcSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Microsoft Passport";"System.ServiceProcess.ServiceController[]";".";"NgcSvc";"System.ServiceProcess.ServiceController[]";;"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"NlaSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Reconoc. ubicaci?n de red";"System.ServiceProcess.ServiceController[]";".";"NlaSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"nsi";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Servicio Interfaz de almacenamiento en red";"System.ServiceProcess.ServiceController[]";".";"nsi";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"OneSyncSvc_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Sincronizar host_789d044";"System.ServiceProcess.ServiceController[]";".";"OneSyncSvc_789d044";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"224";"Automatic";;
"p2pimsvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Administrador de identidad de redes de mismo nivel";"System.ServiceProcess.ServiceController[]";".";"p2pimsvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"p2psvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Agrupaci?n de red del mismo nivel";"System.ServiceProcess.ServiceController[]";".";"p2psvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"PcaSvc";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Servicio Asistente para la compatibilidad de programas";"System.ServiceProcess.ServiceController[]";".";"PcaSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"PEFService";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"McAfee PEF Service";"System.ServiceProcess.ServiceController[]";".";"PEFService";"System.ServiceProcess.ServiceController[]";;"Running";"Win32OwnProcess";"Automatic";;
"perceptionsimulation";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de simulaci?n de percepci?n de Windows";"System.ServiceProcess.ServiceController[]";".";"perceptionsimulation";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"PerfHost";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"DLL de host del Contador de rendimiento";"System.ServiceProcess.ServiceController[]";".";"PerfHost";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"PhoneSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio telef?nico";"System.ServiceProcess.ServiceController[]";".";"PhoneSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"PimIndexMaintenanceSvc_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Datos de contactos_789d044";"System.ServiceProcess.ServiceController[]";".";"PimIndexMaintenanceSvc_789d044";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"224";"Manual";;
"pla";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Registros y alertas de rendimiento";"System.ServiceProcess.ServiceController[]";".";"pla";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"PlugPlay";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Plug and Play";"System.ServiceProcess.ServiceController[]";".";"PlugPlay";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"PNRPAutoReg";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de publicaci?n de nombres de equipo PNRP";"System.ServiceProcess.ServiceController[]";".";"PNRPAutoReg";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"PNRPsvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Protocolo de resoluci?n de nombres de mismo nivel";"System.ServiceProcess.ServiceController[]";".";"PNRPsvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"PolicyAgent";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Agente de directiva IPsec";"System.ServiceProcess.ServiceController[]";".";"PolicyAgent";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"postgresql-x64-11";"System.ServiceProcess.ServiceController[]";"True";"True";"True";"postgresql-x64-11 - PostgreSQL Server 11";"System.ServiceProcess.ServiceController[]";".";"postgresql-x64-11";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"Power";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Energ?a";"System.ServiceProcess.ServiceController[]";".";"Power";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32ShareProcess";"Automatic";;
"PrintNotify";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Extensiones y notificaciones de impresora";"System.ServiceProcess.ServiceController[]";".";"PrintNotify";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess, InteractiveProcess";"Manual";;
"PrintWorkflowUserSvc_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"PrintWorkflow_789d044";"System.ServiceProcess.ServiceController[]";".";"PrintWorkflowUserSvc_789d044";"System.ServiceProcess.ServiceController[]";;"Running";"240";"Manual";;
"ProfSvc";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Servicio de perfil de usuario";"System.ServiceProcess.ServiceController[]";".";"ProfSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"PushToInstall";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio PushToInstall de Windows";"System.ServiceProcess.ServiceController[]";".";"PushToInstall";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"QWAVE";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Experiencia de calidad de audio y v?deo de Windows (qWave)";"System.ServiceProcess.ServiceController[]";".";"QWAVE";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"RasAuto";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Administrador de conexiones autom?ticas de acceso remoto";"System.ServiceProcess.ServiceController[]";".";"RasAuto";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"RasMan";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Administrador de conexiones de acceso remoto";"System.ServiceProcess.ServiceController[]";".";"RasMan";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32ShareProcess";"Automatic";;
"RegSrvc";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Intel(R) PROSet/Wireless Registry Service";"System.ServiceProcess.ServiceController[]";".";"RegSrvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"RemoteAccess";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Enrutamiento y acceso remoto";"System.ServiceProcess.ServiceController[]";".";"RemoteAccess";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Disabled";;
"RemoteRegistry";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Registro remoto";"System.ServiceProcess.ServiceController[]";".";"RemoteRegistry";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Disabled";;
"RetailDemo";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de prueba comercial";"System.ServiceProcess.ServiceController[]";".";"RetailDemo";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"RmSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de administraci?n de radio";"System.ServiceProcess.ServiceController[]";".";"RmSvc";"System.ServiceProcess.ServiceController[]";;"Stopped";"Win32ShareProcess";"Manual";;
"RpcEptMapper";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Asignador de extremos de RPC";"System.ServiceProcess.ServiceController[]";".";"RpcEptMapper";"System.ServiceProcess.ServiceController[]";;"Running";"Win32ShareProcess";"Automatic";;
"RpcLocator";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Ubicador de llamada a procedimiento remoto (RPC)";"System.ServiceProcess.ServiceController[]";".";"RpcLocator";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"RpcSs";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Llamada a procedimiento remoto (RPC)";"System.ServiceProcess.ServiceController[]";".";"RpcSs";"System.ServiceProcess.ServiceController[]";;"Running";"Win32ShareProcess";"Automatic";;
"RstMwService";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"RstMwService";"System.ServiceProcess.ServiceController[]";".";"RstMwService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"RtkAudioUniversalService";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Realtek Audio Universal Service";"System.ServiceProcess.ServiceController[]";".";"RtkAudioUniversalService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"SamSs";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Administrador de cuentas de seguridad";"System.ServiceProcess.ServiceController[]";".";"SamSs";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32ShareProcess";"Automatic";;
"SCardSvr";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Tarjeta inteligente";"System.ServiceProcess.ServiceController[]";".";"SCardSvr";"System.ServiceProcess.ServiceController[]";;"Stopped";"Win32ShareProcess";"Manual";;
"ScDeviceEnum";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de enumeraci?n de dispositivos de tarjeta inteligente";"System.ServiceProcess.ServiceController[]";".";"ScDeviceEnum";"System.ServiceProcess.ServiceController[]";;"Stopped";"Win32ShareProcess";"Manual";;
"Schedule";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Programador de tareas";"System.ServiceProcess.ServiceController[]";".";"Schedule";"System.ServiceProcess.ServiceController[]";;"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"SCPolicySvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Directiva de extracci?n de tarjetas inteligentes";"System.ServiceProcess.ServiceController[]";".";"SCPolicySvc";"System.ServiceProcess.ServiceController[]";;"Stopped";"Win32ShareProcess";"Manual";;
"SDRSVC";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Copias de seguridad de Windows";"System.ServiceProcess.ServiceController[]";".";"SDRSVC";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"seclogon";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Inicio de sesi?n secundario";"System.ServiceProcess.ServiceController[]";".";"seclogon";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"SecurityHealthService";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio Seguridad de Windows";"System.ServiceProcess.ServiceController[]";".";"SecurityHealthService";"System.ServiceProcess.ServiceController[]";;"Running";"Win32OwnProcess";"Manual";;
"SEMgrSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Administrador de pagos y NFC/SE";"System.ServiceProcess.ServiceController[]";".";"SEMgrSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Manual";;
"SENS";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Servicio de notificaci?n de eventos de sistema";"System.ServiceProcess.ServiceController[]";".";"SENS";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"SensorDataService";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de datos del sensor";"System.ServiceProcess.ServiceController[]";".";"SensorDataService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"SensorService";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de sensores";"System.ServiceProcess.ServiceController[]";".";"SensorService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"SensrSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de supervisi?n de sensores";"System.ServiceProcess.ServiceController[]";".";"SensrSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"SessionEnv";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Configuraci?n de Escritorio remoto";"System.ServiceProcess.ServiceController[]";".";"SessionEnv";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"SgrmBroker";"System.ServiceProcess.ServiceController[]";"False";"True";"False";"Agente de supervisi?n en tiempo de ejecuci?n de Protecci?n del sistema";"System.ServiceProcess.ServiceController[]";".";"SgrmBroker";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"SharedAccess";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Conexi?n compartida a Internet (ICS)";"System.ServiceProcess.ServiceController[]";".";"SharedAccess";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"SharedRealitySvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de datos espacial";"System.ServiceProcess.ServiceController[]";".";"SharedRealitySvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"ShellHWDetection";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Detecci?n de hardware shell";"System.ServiceProcess.ServiceController[]";".";"ShellHWDetection";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"shpamsvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Shared PC Account Manager";"System.ServiceProcess.ServiceController[]";".";"shpamsvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Disabled";;
"smphost";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"SMP de Espacios de almacenamiento de Microsoft";"System.ServiceProcess.ServiceController[]";".";"smphost";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"SmsRouter";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio enrutador de SMS de Microsoft Windows.";"System.ServiceProcess.ServiceController[]";".";"SmsRouter";"System.ServiceProcess.ServiceController[]";;"Stopped";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"SNMPTRAP";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Captura de SNMP";"System.ServiceProcess.ServiceController[]";".";"SNMPTRAP";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"spectrum";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de percepci?n de Windows";"System.ServiceProcess.ServiceController[]";".";"spectrum";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"Spooler";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Cola de impresi?n";"System.ServiceProcess.ServiceController[]";".";"Spooler";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, InteractiveProcess";"Automatic";;
"sppsvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Protecci?n de software";"System.ServiceProcess.ServiceController[]";".";"sppsvc";"System.ServiceProcess.ServiceController[]";;"Stopped";"Win32OwnProcess";"Automatic";;
"SQLWriter";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"SQL Server VSS Writer";"System.ServiceProcess.ServiceController[]";".";"SQLWriter";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"SSDPSRV";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Detecci?n SSDP";"System.ServiceProcess.ServiceController[]";".";"SSDPSRV";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"ssh-agent";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"OpenSSH Authentication Agent";"System.ServiceProcess.ServiceController[]";".";"ssh-agent";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Disabled";;
"SstpSvc";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Servicio de protocolo de t?nel de sockets seguros";"System.ServiceProcess.ServiceController[]";".";"SstpSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"StateRepository";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Servicio de repositorio de estado";"System.ServiceProcess.ServiceController[]";".";"StateRepository";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"stisvc";"System.ServiceProcess.ServiceController[]";"True";"True";"True";"Adquisici?n de im?genes de Windows (WIA)";"System.ServiceProcess.ServiceController[]";".";"stisvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"StorSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Servicio de almacenamiento";"System.ServiceProcess.ServiceController[]";".";"StorSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"svsvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Comprobador puntual";"System.ServiceProcess.ServiceController[]";".";"svsvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"swprv";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Proveedor de instant?neas de software de Microsoft";"System.ServiceProcess.ServiceController[]";".";"swprv";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"SysMain";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"SysMain";"System.ServiceProcess.ServiceController[]";".";"SysMain";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"SystemEventsBroker";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Agente de eventos del sistema";"System.ServiceProcess.ServiceController[]";".";"SystemEventsBroker";"System.ServiceProcess.ServiceController[]";;"Running";"Win32ShareProcess";"Automatic";;
"TabletInputService";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de Panel de escritura a mano y teclado t?ctil";"System.ServiceProcess.ServiceController[]";".";"TabletInputService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"TapiSrv";"System.ServiceProcess.ServiceController[]";"True";"False";"True";"Telefon?a";"System.ServiceProcess.ServiceController[]";".";"TapiSrv";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"TermService";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Servicios de Escritorio remoto";"System.ServiceProcess.ServiceController[]";".";"TermService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"Themes";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Temas";"System.ServiceProcess.ServiceController[]";".";"Themes";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"TieringEngineService";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Administraci?n de capas de almacenamiento";"System.ServiceProcess.ServiceController[]";".";"TieringEngineService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"TimeBrokerSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Agente de eventos de tiempo";"System.ServiceProcess.ServiceController[]";".";"TimeBrokerSvc";"System.ServiceProcess.ServiceController[]";;"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"TokenBroker";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Administrador de cuentas web";"System.ServiceProcess.ServiceController[]";".";"TokenBroker";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"TrkWks";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Cliente de seguimiento de v?nculos distribuidos";"System.ServiceProcess.ServiceController[]";".";"TrkWks";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"TrustedInstaller";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Instalador de m?dulos de Windows";"System.ServiceProcess.ServiceController[]";".";"TrustedInstaller";"System.ServiceProcess.ServiceController[]";;"Stopped";"Win32OwnProcess";"Manual";;
"tzautoupdate";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Actualizador de zona horaria autom?tica";"System.ServiceProcess.ServiceController[]";".";"tzautoupdate";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Disabled";;
"UmRdpService";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Redirector de puerto en modo usuario de Servicios de Escritorio remoto";"System.ServiceProcess.ServiceController[]";".";"UmRdpService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"UnistoreSvc_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Almacenamiento de datos de usuarios_789d044";"System.ServiceProcess.ServiceController[]";".";"UnistoreSvc_789d044";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"224";"Manual";;
"upnphost";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Dispositivo host de UPnP";"System.ServiceProcess.ServiceController[]";".";"upnphost";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"UserDataSvc_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Acceso a datos de usuarios_789d044";"System.ServiceProcess.ServiceController[]";".";"UserDataSvc_789d044";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"224";"Manual";;
"UserManager";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Administrador de usuarios";"System.ServiceProcess.ServiceController[]";".";"UserManager";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"UsoSvc";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Update Orchestrator Service";"System.ServiceProcess.ServiceController[]";".";"UsoSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"VacSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio Volumetric Audio Compositor";"System.ServiceProcess.ServiceController[]";".";"VacSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"VaultSvc";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Administrador de credenciales";"System.ServiceProcess.ServiceController[]";".";"VaultSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32ShareProcess";"Manual";;
"vds";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Disco virtual";"System.ServiceProcess.ServiceController[]";".";"vds";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"vmicguestinterface";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Interfaz de servicio invitado de Hyper-V";"System.ServiceProcess.ServiceController[]";".";"vmicguestinterface";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"vmicheartbeat";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de latido de Hyper-V";"System.ServiceProcess.ServiceController[]";".";"vmicheartbeat";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"vmickvpexchange";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de intercambio de datos de Hyper-V";"System.ServiceProcess.ServiceController[]";".";"vmickvpexchange";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"vmicrdv";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de virtualizaci?n de Escritorio remoto de Hyper-V";"System.ServiceProcess.ServiceController[]";".";"vmicrdv";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"vmicshutdown";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de cierre de invitado de Hyper-V";"System.ServiceProcess.ServiceController[]";".";"vmicshutdown";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"vmictimesync";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de sincronizaci?n de hora de Hyper-V";"System.ServiceProcess.ServiceController[]";".";"vmictimesync";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
